,MONTH,SERVICE_CATEGORY,CLAIM_SPECIALTY,PAYER,PAID_AMOUNT
0,2018-01-31,AncillaryFFS,,Payer F,4281
1,2018-01-31,AncillaryFFS,,Payer H,2221
2,2018-01-31,AncillaryFFS,,Payer O,3937
3,2018-01-31,AncillaryFFS,,Payer W,268
4,2018-01-31,AncillaryFFS,ACH,Payer W,151
5,2018-01-31,AncillaryFFS,Advanced Registered Nurse Prac,Payer UN,0
6,2018-01-31,AncillaryFFS,ADVANCED RN PRACT,Payer CA,443
7,2018-01-31,AncillaryFFS,AMBULANCE,Payer CA,14890
8,2018-01-31,AncillaryFFS,AMBULANCE,Payer CO,1722
9,2018-01-31,AncillaryFFS,AMBULANCE,Payer F,36108
10,2018-01-31,AncillaryFFS,AMBULANCE,Payer H,7206
11,2018-01-31,AncillaryFFS,AMBULANCE,Payer O,6000
12,2018-01-31,AncillaryFFS,Ambulance,Payer S,1024
13,2018-01-31,AncillaryFFS,AMBULANCE,Payer W,2143
14,2018-01-31,AncillaryFFS,AMBULANCE SERVICE,Payer B,406
15,2018-01-31,AncillaryFFS,AMBULATORY SURGICAL CENTER,Payer W,2212
16,2018-01-31,AncillaryFFS,Ambulatory Transportation Services,Payer UN,1623
17,2018-01-31,AncillaryFFS,ANATOM,Payer W,73
18,2018-01-31,AncillaryFFS,ANESTHESIOLOGY,Payer F,538
19,2018-01-31,AncillaryFFS,ARNP,Payer CA,835
20,2018-01-31,AncillaryFFS,BEHAVIORAL HEALTH COUNSELING,Payer W,64
21,2018-01-31,AncillaryFFS,CARD ELECTROPHYSIOLO,Payer CA,45
22,2018-01-31,AncillaryFFS,CARDIAC ELECTROPHYSIOLOGY,Payer W,255
23,2018-01-31,AncillaryFFS,CARDIOLOGY,Payer CA,197
24,2018-01-31,AncillaryFFS,CARDIOLOGY,Payer F,3212
25,2018-01-31,AncillaryFFS,CARDIOLOGY,Payer O,1069
26,2018-01-31,AncillaryFFS,Cardiology,Payer UN,-250
27,2018-01-31,AncillaryFFS,CARDIOLOGY,Payer W,375
28,2018-01-31,AncillaryFFS,Cardiology/Cardiovascular Disease,Payer B,0
29,2018-01-31,AncillaryFFS,Cardiovascular Medicine,Payer S,36
30,2018-01-31,AncillaryFFS,CARDIOVASCULAR SURGERY,Payer CA,757
31,2018-01-31,AncillaryFFS,CCS,Payer CO,205
32,2018-01-31,AncillaryFFS,Chiropractic Medicine,Payer UN,0
33,2018-01-31,AncillaryFFS,Clinical Medical Laboratory	,Payer S,678
34,2018-01-31,AncillaryFFS,Colon and Rectal Surgery,Payer B,0
35,2018-01-31,AncillaryFFS,COMMUNITY MENTAL HEALTH CENTER,Payer W,77
36,2018-01-31,AncillaryFFS,COMMUNITY MENTAL HEALTH CENTER/OTHER REHAB CENTER,Payer F,1876
37,2018-01-31,AncillaryFFS,CONV CARE CLINIC,Payer W,49
38,2018-01-31,AncillaryFFS,COVERING PHYSICIAN,Payer CA,0
39,2018-01-31,AncillaryFFS,CRITICAL ACCESS,Payer W,1053
40,2018-01-31,AncillaryFFS,CSW,Payer W,57
41,2018-01-31,AncillaryFFS,DEFAULT,Payer F,915
42,2018-01-31,AncillaryFFS,DEFAULT,Payer O,2400
43,2018-01-31,AncillaryFFS,Dermatology,Payer B,0
44,2018-01-31,AncillaryFFS,DERMATOLOGY,Payer CA,153
45,2018-01-31,AncillaryFFS,DERMATOLOGY,Payer CO,100
46,2018-01-31,AncillaryFFS,Dermatology,Payer UN,-154
